match_id,date,round,team,opponent,venue,result,goalkeeper,match_name,player_id,shirt_number,listed_position,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attHdMiss,attHdTotal,attIboxMiss,attMissRight,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonTackle,yellowCard
58gq4gre01laikpidgbf9i044,2026-04-10,1,Breidablik,Víkingur R,A,1-1,Anton Ari Einarsson,A. Einarsson,9zzg49vnaufp7j6yj7pcg6sb9,1,Goalkeeper,22,6,6,1,2,6,7,15,28,,,,,,,,,,,,,11,4,,,11,,1,,10,,,,1,,,1,,1,,6,4,1,,31,1,,4,1,,1,1,,10,6,,6,14,6,1,90,,,32,,3,1,,,,,,,15,15,,,4,,,6,4,2,6,,,,,3,2,3,24,,,,0,,29,9,1,,6,14,1,2,14,30,43,,,,,,58,,,,,,0,,,
58gq4gre01laikpidgbf9i044,2026-04-10,1,Víkingur R,Breidablik,H,1-1,Ingvar Jónsson,I. Jónsson,5ghzqanbf8v432ekwypz71exh,1,Goalkeeper,25,2,1,1,,5,2,4,26,,,,,,,,,,,,,2,1,,,10,,,,4,,,,,,,,,,,4,4,1,,18,1,,1,1,1,,1,,7,5,,10,7,1,,90,,,34,,1,1,1,1,,,,,10,10,2,,1,,,8,,,,,,,,1,1,1,25,,,,0,,29,3,,,4,7,1,,10,13,36,,,,,,42,,,,,,0,,,
5adqibxev6p0ee3l6zqz43ggk,2026-04-12,1,FH,ÍBV,A,1-1,Jökull Andrésson,J. Andrésson,29q6xnzs6z0lnt8ntpiber696,1,Goalkeeper,10,,1,7,,5,,1,11,,,,,,,,,,,,,9,5,,,6,,,,2,,,2,3,,,,,,,,,1,,9,1,,7,1,1,,1,,4,5,,5,5,1,1,90,,,8,,,1,,,,,,,7,7,1,,,,,3,1,2,3,,,,,,,,4,,,,0,,12,,,,,5,1,,6,7,17,,,,,,27,,,,,,0,,,
5bko88dcsxlnjjt2xzayiy4no,2026-04-12,1,Fram,ÍA,H,3-3,Viktor Freyr Sigurðsson,V. Sigurðsson,ep3hf2ww6epapo978sbn665be,22,Goalkeeper,17,1,,1,,2,,2,17,,,,,,,,,,,,,10,4,,,7,,1,,3,,,1,2,,,1,,,,5,4,1,,17,1,,4,3,3,,1,,4,3,,11,13,,1,90,,,28,,1,4,1,,,,,,18,18,2,,2,,,6,3,,4,,,,,,,,16,,,,0,,21,2,1,,5,13,1,,13,18,34,,,,,,43,,,,,,0,,,
5azcgpxj71p79bn8o27qyayac,2026-04-12,1,KA,Stjarnan,H,2-3,Steinþór Már Auðunsson,S. Auðunsson,381vrdne8tq32r6gu1hc5dp05,13,Goalkeeper,23,,,3,,10,,,23,,,1,,,,,,,,,,7,3,,,12,,,,6,,,,1,,1,2,,,,3,1,1,,9,1,,4,3,3,,2,,9,10,,9,5,,1,90,,,24,,,2,1,,,,,,7,7,1,,2,2,,12,2,,2,,,,1,,,,20,,,,0,,25,1,2,,3,5,2,,5,7,30,,,,,,46,,,,,,0,,,
5954hehzan6m0twb25nis6y38,2026-04-12,1,KR,Keflavík,H,3-2,Arnar Freyr Ólafsson,A. Ólafsson,civvv5ns1omb20m4omsdoiklx,1,Goalkeeper,11,,,,,,,,11,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,1,,7,1,,,,,,,,,,,2,,,,11,,,10,,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,10,,,,0,,11,,,,,,,,,,11,,1,,,,11,,,,,,0,,,
5954hehzan6m0twb25nis6y38,2026-04-12,1,KR,Keflavík,H,3-2,Halldór Snær Georgsson,H. Georgsson,cdx5akkzjrm6j7erasu8k4hlg,12,Substitute,44,3,5,1,,5,3,7,49,,,,,,,,,,,,,7,3,,,16,,,,10,,,,1,,,,,,,2,2,0,,30,,,3,2,2,,1,,8,5,,18,11,5,,79,,,50,,1,1,,,,,,,6,6,7,,7,,,7,,,,,,,,1,1,1,46,,,,0,,44,4,,,2,11,1,,5,13,55,,,1,,,62,,,,,,0,,,
5954hehzan6m0twb25nis6y38,2026-04-12,1,Keflavík,KR,A,2-3,Ásgeir Orri Magnússon,Ásgeir Orri Magnússon,67iuqfijm1h3db1j85g111rf8,1,Goalkeeper,17,7,8,2,3,7,3,10,25,,,,,1,1,1,1,1,1,1,,8,5,1,,11,,,,7,,,1,2,,,4,,,,2,,1,,30,1,,5,3,3,,1,,9,7,,5,18,9,2,90,,,28,,3,4,1,,,,,,14,14,1,,4,1,,3,1,3,4,,1,1,,1,,1,19,,,,0,,21,9,4,,2,17,2,3,11,23,38,1,,,,,58,1,1,,,,0,,,
5azcgpxj71p79bn8o27qyayac,2026-04-12,1,Stjarnan,KA,A,3-2,Árni Snær Ólafsson,Á. Ólafsson,7ibfw77zng0sh9dv2h0srauol,12,Goalkeeper,32,4,7,3,,6,3,12,39,,,,,,,,,,,,,11,10,,,15,,,,13,,,2,2,,,,,,,11,6,1,,28,1,,4,2,1,1,1,,12,6,,9,16,7,,90,,,39,,2,3,2,2,,,,,10,10,2,,8,,,12,2,5,7,,,,,3,3,3,35,1,1,,0,,33,5,,,11,16,1,,7,22,49,,,,,,63,,,,,,0,,,
59s4qh9rhitn82g4i30fc2mfo,2026-04-12,1,Thór,Valur,A,2-1,Aron Birkir Stefánsson,A. Stefánsson,2vfiu4zekww816g1j3bverill,1,Goalkeeper,19,8,7,6,1,7,2,13,26,,,1,,,,,,,,,,12,2,,,16,,,,2,,,,2,,1,4,,1,,12,7,1,,31,1,,9,1,1,,2,,11,7,,4,23,8,,90,,,26,,8,3,,,,,,,17,17,3,,1,2,,8,3,2,5,,,,,4,3,4,17,,,,0,,21,14,4,,12,22,2,1,7,30,43,,,,,,61,,,,,,0,,,
59s4qh9rhitn82g4i30fc2mfo,2026-04-12,1,Valur,Thór,H,1-2,Frederik August Albrecht Schram,F. Schram,c4esrbgbv6v715768v2cb676d,18,Goalkeeper,22,1,,5,,5,1,3,22,,,,,,,,,,,,,9,5,,,8,,,,2,,,,,,,,,,,1,,1,,13,1,,5,2,2,,2,,5,6,,7,2,,,90,,,25,,,,,,,,,,10,10,1,,,,,11,,,,,,,,,,,17,,,,0,,29,2,,,1,2,2,,8,12,31,,,,,,39,,,,,,0,,,
5bko88dcsxlnjjt2xzayiy4no,2026-04-12,1,ÍA,Fram,A,3-3,Árni Marinó Einarsson,Á. Einarsson,9dwayhvpts3huz0z8pid94i96,1,Goalkeeper,10,3,3,1,,4,3,6,13,,,,,,,,,,,,,11,3,,,9,,,,6,,,,,,1,,,,,2,1,1,,21,1,,2,3,3,,2,,6,4,,2,12,3,,90,,,18,,2,1,,,,,,,11,11,1,,2,,,1,1,1,2,,,,1,1,,1,10,,,,0,,12,3,,,2,12,2,,12,17,24,,,,,,33,,,,,1,0,,,
5adqibxev6p0ee3l6zqz43ggk,2026-04-12,1,ÍBV,FH,H,1-1,Marcel Zapytowski,M. Zapytowski,et4ngone9uj5zhf6ual55u2qy,1,Goalkeeper,21,3,6,2,1,4,3,9,27,,,,1,,,,,,,,,5,7,,,12,,2,,4,,,1,4,,2,1,,1,,5,3,1,,30,1,,4,1,,1,1,,10,4,,10,19,6,1,90,1,,32,,1,1,1,1,,,1,1,18,18,1,,2,,,5,4,2,6,1,,,,1,1,1,21,1,1,,0,1,26,5,1,,5,19,1,1,14,26,45,,,,1,,60,,,,,1,0,,,
5e4pmxy1g5i7lytal2rff261g,2026-04-17,2,Breidablik,ÍA,H,1-0,Anton Ari Einarsson,A. Einarsson,9zzg49vnaufp7j6yj7pcg6sb9,1,Goalkeeper,23,1,2,,,4,2,6,25,,,,,,,,,,,,,11,4,,,6,,2,,2,,1,1,1,,,,,,1,5,3,1,,27,1,,,,,,2,,4,4,,,12,2,2,90,,,34,,1,1,,,,,,,12,12,,,,,,9,3,1,4,,,,1,1,,1,24,,,,0,,24,1,,,5,12,2,,11,17,36,,,,,,47,,,,,,0,,,
