goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attHdMiss,attHdTotal,attIboxMiss,attMissRight,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonTackle,yellowCard
Anton Ari Einarsson,Breidablik,7,7,630.0,158.0,23.0,24.0,11.0,2.0,31.0,18.0,51.0,182.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,59.0,0.0,3.0,0.0,34.0,0.0,3.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,1.0,25.0,19.0,7.0,0.0,166.0,7.0,0.0,16.0,8.0,7.0,1.0,5.0,0.0,46.0,32.0,0.0,38.0,73.0,24.0,6.0,630.0,1.0,0.0,212.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,74.0,74.0,8.0,0.0,16.0,0.0,0.0,48.0,22.0,6.0,28.0,1.0,0.0,0.0,2.0,6.0,4.0,6.0,158.0,0.0,0.0,0.0,0.0,1.0,179.0,35.0,2.0,0.0,25.0,73.0,5.0,2.0,64.0,121.0,252.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,7,7,630.0,76.0,6.0,14.0,43.0,3.0,26.0,11.0,28.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,41.0,0.0,0.0,48.0,0.0,4.0,0.0,8.0,0.0,0.0,4.0,6.0,0.0,4.0,9.0,0.0,0.0,0.0,21.0,11.0,7.0,0.0,98.0,7.0,0.0,58.0,20.0,17.0,3.0,3.0,0.0,36.0,26.0,0.0,27.0,55.0,14.0,12.0,630.0,0.0,0.0,76.0,0.0,4.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,64.0,64.0,9.0,0.0,0.0,6.0,0.0,28.0,17.0,7.0,25.0,0.0,0.0,0.0,16.0,4.0,3.0,4.0,42.0,1.0,0.0,0.0,0.0,0.0,98.0,8.0,9.0,0.0,21.0,55.0,3.0,3.0,52.0,90.0,153.0,0.0,0.0,0.0,2.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,7,7,630.0,79.0,9.0,34.0,13.0,8.0,23.0,28.0,49.0,113.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,29.0,0.0,0.0,57.0,0.0,3.0,1.0,22.0,0.0,0.0,3.0,6.0,0.0,1.0,14.0,2.0,0.0,0.0,55.0,41.0,7.0,0.0,142.0,7.0,0.0,24.0,13.0,11.0,2.0,1.0,2.0,46.0,24.0,0.0,33.0,110.0,34.0,5.0,630.0,1.0,0.0,155.0,0.0,9.0,38.0,5.0,3.0,0.0,0.0,0.0,0.0,91.0,91.0,10.0,0.0,12.0,5.0,1.0,27.0,12.0,8.0,22.0,1.0,0.0,0.0,4.0,13.0,6.0,13.0,90.0,0.0,0.0,1.0,0.0,1.0,92.0,12.0,14.0,0.0,55.0,110.0,1.0,8.0,97.0,136.0,202.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Steinþór Már Auðunsson,KA,7,7,630.0,120.0,13.0,17.0,25.0,2.0,32.0,8.0,37.0,137.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,37.0,0.0,0.0,66.0,0.0,4.0,0.0,27.0,0.0,2.0,1.0,4.0,1.0,6.0,7.0,0.0,0.0,0.0,34.0,12.0,7.0,1.0,144.0,7.0,0.0,49.0,9.0,9.0,0.0,7.0,0.0,49.0,32.0,0.0,25.0,82.0,17.0,7.0,630.0,0.0,0.0,144.0,0.0,9.0,25.0,3.0,0.0,1.0,1.0,1.0,0.0,82.0,82.0,9.0,1.0,13.0,3.0,0.0,50.0,22.0,7.0,29.0,0.0,0.0,0.0,19.0,7.0,3.0,7.0,102.0,1.0,0.0,0.0,0.0,0.0,137.0,28.0,7.0,1.0,34.0,82.0,7.0,2.0,44.0,118.0,219.0,0.0,0.0,0.0,1.0,0.0,301.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
Ásgeir Orri Magnússon,Keflavík,7,7,630.0,105.0,19.0,51.0,23.0,12.0,49.0,31.0,78.0,156.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,68.0,35.0,1.0,0.0,94.0,0.0,2.0,0.0,39.0,1.0,1.0,2.0,6.0,1.0,4.0,18.0,1.0,0.0,0.0,40.0,17.0,7.0,0.0,190.0,7.0,2.0,46.0,12.0,11.0,1.0,7.0,1.0,77.0,51.0,0.0,30.0,125.0,53.0,3.0,630.0,1.0,0.0,156.0,0.0,10.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,90.0,90.0,9.0,1.0,16.0,4.0,1.0,23.0,16.0,7.0,23.0,1.0,1.0,1.0,6.0,16.0,5.0,16.0,110.0,0.0,0.0,0.0,0.0,1.0,121.0,26.0,18.0,1.0,40.0,122.0,10.0,12.0,75.0,164.0,243.0,1.0,0.0,0.0,0.0,0.0,354.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Árni Snær Ólafsson,Stjarnan,7,7,630.0,214.0,35.0,50.0,21.0,3.0,35.0,22.0,76.0,264.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,38.0,0.0,0.0,79.0,0.0,2.0,0.0,65.0,1.0,0.0,3.0,7.0,1.0,9.0,6.0,0.0,0.0,0.0,60.0,34.0,7.0,0.0,200.0,7.0,1.0,28.0,17.0,12.0,5.0,4.0,0.0,62.0,35.0,1.0,80.0,103.0,49.0,4.0,630.0,0.0,1.0,278.0,0.0,14.0,15.0,6.0,3.0,1.0,0.0,1.0,0.0,75.0,75.0,13.0,0.0,37.0,2.0,0.0,57.0,20.0,13.0,33.0,1.0,0.0,0.0,5.0,22.0,14.0,22.0,229.0,2.0,1.0,0.0,0.0,1.0,233.0,48.0,6.0,0.0,60.0,104.0,6.0,3.0,61.0,144.0,337.0,0.0,0.0,0.0,1.0,1.0,427.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0
Aron Birkir Stefánsson,Thór,7,7,630.0,119.0,28.0,20.0,25.0,1.0,33.0,11.0,55.0,139.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,47.0,0.0,0.0,72.0,0.0,2.0,0.0,18.0,0.0,1.0,8.0,16.0,2.0,5.0,12.0,0.0,1.0,0.0,57.0,25.0,7.0,0.0,174.0,7.0,0.0,49.0,19.0,18.0,1.0,9.0,0.0,56.0,36.0,0.0,54.0,109.0,21.0,12.0,630.0,0.0,1.0,159.0,0.0,29.0,12.0,5.0,3.0,2.0,0.0,3.0,1.0,117.0,117.0,7.0,0.0,5.0,6.0,0.0,24.0,22.0,13.0,35.0,1.0,0.0,0.0,12.0,9.0,4.0,9.0,99.0,1.0,0.0,0.0,0.0,1.0,145.0,55.0,12.0,0.0,57.0,107.0,9.0,1.0,58.0,166.0,252.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Frederik August Albrecht Schram,Valur,7,7,630.0,108.0,17.0,25.0,31.0,3.0,34.0,20.0,59.0,133.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,54.0,0.0,0.0,65.0,0.0,1.0,0.0,16.0,1.0,1.0,3.0,6.0,2.0,6.0,11.0,0.0,0.0,0.0,37.0,11.0,7.0,0.0,142.0,7.0,1.0,59.0,14.0,11.0,3.0,6.0,0.0,52.0,36.0,0.0,37.0,91.0,25.0,6.0,630.0,0.0,0.0,135.0,0.0,15.0,11.0,3.0,0.0,1.0,0.0,1.0,0.0,102.0,102.0,7.0,0.0,7.0,7.0,0.0,50.0,16.0,10.0,27.0,0.0,0.0,0.0,13.0,9.0,5.0,9.0,87.0,0.0,0.0,0.0,1.0,0.0,138.0,23.0,11.0,1.0,37.0,91.0,7.0,3.0,71.0,155.0,229.0,0.0,0.0,0.0,0.0,0.0,317.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Árni Marinó Einarsson,ÍA,7,7,630.0,190.0,14.0,23.0,6.0,6.0,26.0,22.0,40.0,213.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,35.0,0.0,0.0,59.0,0.0,1.0,0.0,50.0,0.0,0.0,2.0,3.0,0.0,4.0,9.0,3.0,0.0,1.0,14.0,10.0,7.0,0.0,135.0,7.0,1.0,10.0,14.0,13.0,1.0,8.0,3.0,38.0,26.0,0.0,64.0,64.0,23.0,6.0,630.0,0.0,0.0,239.0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,55.0,55.0,12.0,1.0,23.0,1.0,0.0,68.0,14.0,7.0,21.0,0.0,0.0,0.0,9.0,5.0,3.0,5.0,200.0,0.0,0.0,0.0,0.0,0.0,203.0,16.0,9.0,1.0,14.0,64.0,9.0,6.0,57.0,93.0,267.0,0.0,0.0,0.0,1.0,0.0,337.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Halldór Snær Georgsson,KR,7,6,619.0,273.0,13.0,20.0,31.0,10.0,43.0,10.0,31.0,293.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,23.0,0.0,0.0,86.0,1.0,1.0,0.0,45.0,0.0,0.0,0.0,1.0,2.0,6.0,13.0,0.0,1.0,0.0,23.0,22.0,6.0,0.0,188.0,6.0,0.0,34.0,13.0,12.0,1.0,4.0,0.0,55.0,43.0,0.0,107.0,61.0,21.0,3.0,619.0,1.0,1.0,300.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,55.0,55.0,25.0,2.0,29.0,3.0,1.0,53.0,11.0,7.0,18.0,2.0,0.0,0.0,15.0,8.0,7.0,8.0,249.0,0.0,0.0,0.0,0.0,2.0,288.0,25.0,13.0,0.0,23.0,60.0,8.0,10.0,45.0,80.0,348.0,0.0,0.0,1.0,1.0,0.0,435.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
