goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attHdMiss,attHdTotal,attIboxMiss,attMissRight,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Árni Snær Ólafsson,Stjarnan,11,11,990.0,354.0,45.0,65.0,44.0,3.0,45.0,25.0,96.0,419.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.0,61.0,0.0,1.0,107.0,0.0,3.0,0.0,101.0,1.0,0.0,6.0,11.0,3.0,13.0,9.0,0.0,0.0,0.0,85.0,55.0,11.0,1.0,288.0,11.0,1.0,53.0,26.0,20.0,6.0,5.0,0.0,83.0,46.0,1.0,123.0,140.0,63.0,10.0,990.0,0.0,1.0,428.0,0.0,22.0,20.0,9.0,6.0,2.0,1.0,2.0,0.0,107.0,107.0,19.0,0.0,60.0,3.0,0.0,110.0,29.0,16.0,45.0,1.0,0.0,0.0,6.0,30.0,20.0,30.0,353.0,2.0,1.0,0.0,1.0,1.0,380.0,68.0,9.0,2.0,85.0,142.0,7.0,3.0,80.0,193.0,522.0,0.0,0.0,0.0,1.0,1.0,645.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0
Frederik August Albrecht Schram,Valur,11,11,990.0,203.0,25.0,51.0,64.0,6.0,56.0,31.0,96.0,254.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,98.0,0.0,0.0,102.0,0.0,1.0,0.0,35.0,1.0,2.0,7.0,13.0,2.0,8.0,20.0,0.0,0.0,0.0,76.0,29.0,11.0,0.0,270.0,11.0,1.0,107.0,23.0,18.0,5.0,7.0,0.0,82.0,58.0,0.0,65.0,174.0,52.0,8.0,990.0,0.0,0.0,263.0,0.0,33.0,21.0,10.0,4.0,1.0,0.0,1.0,0.0,178.0,178.0,13.0,0.0,12.0,11.0,0.0,89.0,23.0,22.0,47.0,0.0,0.0,0.0,16.0,18.0,9.0,18.0,169.0,2.0,0.0,0.0,1.0,0.0,251.0,36.0,20.0,1.0,76.0,173.0,8.0,6.0,129.0,266.0,424.0,0.0,0.0,0.0,0.0,1.0,569.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Halldór Snær Georgsson,KR,11,10,979.0,459.0,25.0,31.0,53.0,16.0,62.0,18.0,48.0,490.0,1.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,35.0,0.0,0.0,124.0,1.0,4.0,1.0,64.0,0.0,0.0,0.0,1.0,2.0,7.0,21.0,0.0,1.0,0.0,37.0,35.0,10.0,0.0,301.0,10.0,0.0,57.0,25.0,23.0,2.0,5.0,0.0,76.0,62.0,0.0,191.0,93.0,32.0,9.0,979.0,1.0,1.0,503.0,0.0,11.0,10.0,3.0,3.0,1.0,0.0,1.0,0.0,89.0,89.0,41.0,2.0,41.0,5.0,3.0,87.0,18.0,12.0,30.0,2.0,0.0,0.0,25.0,11.0,10.0,11.0,420.0,0.0,0.0,1.0,0.0,2.0,487.0,48.0,21.0,0.0,37.0,92.0,9.0,16.0,72.0,128.0,579.0,0.0,0.0,1.0,1.0,1.0,708.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Anton Ari Einarsson,Breidablik,10,10,900.0,215.0,35.0,39.0,12.0,4.0,46.0,24.0,75.0,254.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,46.0,0.0,0.0,96.0,0.0,4.0,0.0,52.0,0.0,3.0,1.0,7.0,0.0,5.0,6.0,0.0,3.0,1.0,45.0,35.0,10.0,0.0,250.0,10.0,0.0,18.0,19.0,18.0,1.0,6.0,0.0,75.0,47.0,0.0,54.0,128.0,40.0,7.0,900.0,1.0,0.0,311.0,1.0,14.0,14.0,1.0,1.0,2.0,0.0,2.0,0.0,117.0,117.0,14.0,1.0,27.0,0.0,0.0,63.0,32.0,10.0,42.0,1.0,0.0,0.0,6.0,11.0,8.0,11.0,226.0,0.0,0.0,0.0,0.0,1.0,240.0,59.0,6.0,0.0,45.0,127.0,7.0,4.0,90.0,186.0,367.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,10,10,900.0,111.0,11.0,21.0,57.0,6.0,43.0,16.0,45.0,132.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,60.0,0.0,0.0,80.0,0.0,5.0,1.0,11.0,1.0,0.0,7.0,10.0,1.0,9.0,16.0,0.0,0.0,0.0,32.0,14.0,10.0,0.0,157.0,10.0,0.0,84.0,27.0,23.0,4.0,5.0,0.0,60.0,43.0,0.0,35.0,88.0,21.0,15.0,900.0,0.0,0.0,115.0,0.0,5.0,17.0,1.0,0.0,1.0,0.0,1.0,0.0,102.0,102.0,15.0,0.0,0.0,8.0,1.0,41.0,23.0,11.0,35.0,0.0,0.0,0.0,20.0,5.0,3.0,5.0,64.0,1.0,0.0,1.0,0.0,0.0,145.0,14.0,16.0,0.0,32.0,88.0,5.0,6.0,79.0,144.0,233.0,0.0,0.0,0.0,3.0,0.0,341.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,10,10,900.0,100.0,12.0,44.0,18.0,8.0,34.0,31.0,61.0,144.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,45.0,0.0,0.0,94.0,0.0,3.0,1.0,37.0,0.0,1.0,5.0,9.0,1.0,1.0,20.0,2.0,0.0,0.0,75.0,52.0,10.0,1.0,197.0,10.0,1.0,31.0,19.0,16.0,3.0,1.0,2.0,76.0,35.0,0.0,48.0,156.0,44.0,8.0,900.0,1.0,0.0,209.0,0.0,13.0,49.0,8.0,4.0,1.0,1.0,1.0,0.0,135.0,135.0,17.0,0.0,21.0,9.0,1.0,32.0,15.0,14.0,31.0,1.0,0.0,0.0,6.0,17.0,8.0,17.0,112.0,1.0,0.0,1.0,0.0,1.0,121.0,17.0,20.0,0.0,75.0,156.0,2.0,8.0,133.0,191.0,277.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Steinþór Már Auðunsson,KA,10,10,900.0,201.0,22.0,26.0,40.0,3.0,44.0,15.0,56.0,227.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,111.0,57.0,0.0,0.0,95.0,0.0,4.0,1.0,36.0,0.0,2.0,1.0,7.0,1.0,8.0,8.0,0.0,0.0,0.0,45.0,18.0,10.0,1.0,220.0,10.0,0.0,68.0,19.0,17.0,2.0,9.0,0.0,68.0,44.0,0.0,46.0,111.0,26.0,12.0,900.0,0.0,0.0,234.0,0.0,13.0,37.0,5.0,1.0,2.0,1.0,2.0,0.0,112.0,112.0,17.0,1.0,18.0,3.0,1.0,71.0,32.0,10.0,42.0,0.0,0.0,0.0,26.0,10.0,5.0,10.0,174.0,1.0,0.0,1.0,0.0,0.0,226.0,40.0,8.0,2.0,45.0,111.0,9.0,3.0,64.0,164.0,337.0,0.0,0.0,0.0,1.0,0.0,451.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0
Ásgeir Orri Magnússon,Keflavík,10,10,900.0,163.0,25.0,59.0,34.0,16.0,70.0,36.0,96.0,222.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0,48.0,1.0,0.0,131.0,0.0,3.0,0.0,54.0,1.0,2.0,2.0,10.0,2.0,5.0,24.0,1.0,0.0,0.0,46.0,22.0,10.0,1.0,247.0,10.0,2.0,63.0,20.0,18.0,2.0,9.0,1.0,104.0,74.0,0.0,55.0,150.0,61.0,3.0,900.0,1.0,0.0,231.0,0.0,11.0,19.0,5.0,4.0,0.0,1.0,1.0,0.0,123.0,123.0,17.0,1.0,21.0,7.0,1.0,37.0,21.0,8.0,29.0,1.0,1.0,1.0,7.0,17.0,6.0,17.0,163.0,0.0,0.0,0.0,0.0,1.0,191.0,37.0,24.0,2.0,47.0,148.0,14.0,17.0,95.0,208.0,339.0,1.0,0.0,0.0,0.0,0.0,493.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
Aron Birkir Stefánsson,Thór,10,10,900.0,175.0,37.0,35.0,36.0,2.0,50.0,21.0,81.0,210.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,66.0,0.0,0.0,106.0,0.0,7.0,1.0,24.0,0.0,1.0,14.0,24.0,3.0,7.0,18.0,0.0,1.0,0.0,85.0,43.0,10.0,0.0,253.0,10.0,0.0,69.0,27.0,24.0,3.0,12.0,0.0,80.0,53.0,0.0,72.0,163.0,37.0,16.0,900.0,0.0,1.0,238.0,1.0,45.0,23.0,6.0,4.0,2.0,0.0,3.0,1.0,161.0,161.0,14.0,0.0,7.0,9.0,1.0,42.0,35.0,14.0,49.0,1.0,0.0,0.0,13.0,17.0,8.0,17.0,152.0,1.0,0.0,1.0,0.0,1.0,207.0,71.0,18.0,0.0,85.0,160.0,12.0,2.0,89.0,236.0,367.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Árni Marinó Einarsson,ÍA,7,7,630.0,190.0,14.0,23.0,6.0,6.0,26.0,22.0,40.0,213.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,35.0,0.0,0.0,59.0,0.0,1.0,0.0,50.0,0.0,0.0,2.0,3.0,0.0,4.0,9.0,3.0,0.0,1.0,14.0,10.0,7.0,0.0,135.0,7.0,1.0,10.0,14.0,13.0,1.0,8.0,3.0,38.0,26.0,0.0,64.0,64.0,23.0,6.0,630.0,0.0,0.0,239.0,0.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,55.0,55.0,12.0,1.0,23.0,1.0,0.0,68.0,14.0,7.0,21.0,0.0,0.0,0.0,9.0,5.0,3.0,5.0,200.0,0.0,0.0,0.0,0.0,0.0,203.0,16.0,9.0,1.0,14.0,64.0,9.0,6.0,57.0,93.0,267.0,0.0,0.0,0.0,1.0,0.0,337.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Aron Snær Friðriksson,Víkingur R,7,6,585.0,107.0,10.0,14.0,7.0,4.0,16.0,14.0,28.0,121.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,36.0,0.0,2.0,0.0,26.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,21.0,13.0,6.0,0.0,108.0,6.0,0.0,11.0,2.0,1.0,1.0,1.0,0.0,30.0,17.0,0.0,28.0,53.0,14.0,6.0,585.0,0.0,0.0,151.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,5.0,0.0,7.0,3.0,0.0,37.0,10.0,2.0,12.0,0.0,0.0,0.0,7.0,7.0,4.0,7.0,111.0,1.0,0.0,0.0,1.0,0.0,120.0,28.0,5.0,1.0,21.0,53.0,1.0,4.0,37.0,79.0,173.0,0.0,0.0,1.0,1.0,1.0,211.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ari í Haraldsstovu Petersen,ÍBV,6,6,540.0,150.0,10.0,11.0,11.0,4.0,25.0,12.0,29.0,161.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,20.0,0.0,0.0,47.0,0.0,2.0,0.0,43.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,15.0,13.0,6.0,0.0,98.0,6.0,0.0,15.0,10.0,5.0,3.0,14.0,1.0,25.0,27.0,0.0,51.0,36.0,11.0,2.0,540.0,0.0,0.0,179.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,8.0,0.0,17.0,1.0,1.0,52.0,6.0,2.0,8.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,146.0,0.0,0.0,0.0,0.0,0.0,166.0,19.0,7.0,0.0,15.0,35.0,14.0,4.0,35.0,67.0,201.0,0.0,0.0,0.0,0.0,0.0,259.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingvar Jónsson,Víkingur R,5,5,405.0,88.0,13.0,10.0,6.0,6.0,12.0,7.0,22.0,98.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,30.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,16.0,12.0,5.0,0.0,70.0,5.0,0.0,7.0,4.0,4.0,0.0,2.0,0.0,22.0,13.0,0.0,30.0,36.0,10.0,2.0,405.0,0.0,0.0,120.0,0.0,3.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,36.0,36.0,6.0,0.0,9.0,0.0,0.0,32.0,6.0,2.0,8.0,0.0,0.0,0.0,5.0,3.0,2.0,3.0,91.0,0.0,0.0,0.0,0.0,0.0,97.0,17.0,6.0,0.0,16.0,35.0,4.0,6.0,34.0,54.0,132.0,0.0,1.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Zapytowski,ÍBV,4,4,360.0,89.0,14.0,10.0,22.0,5.0,17.0,8.0,29.0,99.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,30.0,0.0,1.0,33.0,0.0,2.0,0.0,23.0,1.0,0.0,2.0,8.0,1.0,3.0,10.0,0.0,1.0,0.0,16.0,11.0,4.0,0.0,91.0,4.0,0.0,37.0,14.0,10.0,4.0,1.0,0.0,25.0,17.0,0.0,33.0,43.0,10.0,4.0,360.0,1.0,0.0,107.0,1.0,5.0,6.0,2.0,1.0,0.0,0.0,1.0,1.0,58.0,58.0,7.0,0.0,9.0,2.0,1.0,31.0,9.0,3.0,12.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,72.0,1.0,1.0,0.0,0.0,1.0,113.0,23.0,10.0,0.0,16.0,43.0,1.0,5.0,35.0,83.0,156.0,0.0,0.0,0.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jón Sölvi Símonarson,ÍA,3,3,270.0,49.0,5.0,13.0,13.0,3.0,11.0,8.0,17.0,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,25.0,0.0,1.0,0.0,16.0,0.0,2.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,1.0,12.0,8.0,3.0,0.0,65.0,3.0,1.0,20.0,2.0,2.0,0.0,1.0,0.0,21.0,13.0,0.0,15.0,38.0,13.0,3.0,270.0,0.0,0.0,76.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3.0,0.0,5.0,1.0,0.0,20.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,6.0,0.0,12.0,38.0,2.0,4.0,30.0,54.0,100.0,0.0,0.0,0.0,1.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
