goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attFreekickGoal,attFreekickTotal,attGoalHighLeft,attHdMiss,attHdTotal,attIboxMiss,attLgRight,attMissRight,attOboxGoal,attRfGoal,attRfTotal,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goals,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Árni Snær Ólafsson,Stjarnan,14,14,1260.0,438.0,49.0,74.0,51.0,6.0,58.0,28.0,110.0,512.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,77.0,0.0,0.0,1.0,146.0,0.0,5.0,0.0,122.0,1.0,0.0,8.0,13.0,3.0,16.0,10.0,1.0,0.0,0.0,107.0,71.0,14.0,1.0,349.0,14.0,1.0,61.0,0.0,31.0,25.0,6.0,5.0,1.0,109.0,59.0,1.0,158.0,167.0,72.0,13.0,1260.0,0.0,1.0,0.0,524.0,0.0,24.0,21.0,14.0,9.0,2.0,1.0,2.0,0.0,130.0,130.0,31.0,1.0,68.0,3.0,0.0,128.0,34.0,22.0,56.0,1.0,0.0,0.0,12.0,38.0,25.0,38.0,431.0,3.0,1.0,0.0,1.0,1.0,467.0,77.0,10.0,3.0,107.0,169.0,7.0,6.0,97.0,227.0,636.0,0.0,0.0,0.0,1.0,1.0,791.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0
Frederik August Albrecht Schram,Valur,14,14,1260.0,286.0,34.0,53.0,81.0,7.0,74.0,33.0,109.0,339.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,119.0,0.0,0.0,0.0,129.0,0.0,1.0,0.0,49.0,1.0,2.0,8.0,16.0,2.0,12.0,22.0,0.0,0.0,0.0,83.0,35.0,14.0,0.0,320.0,14.0,1.0,125.0,0.0,27.0,22.0,5.0,9.0,0.0,101.0,76.0,0.0,91.0,193.0,54.0,9.0,1260.0,1.0,0.0,0.0,354.0,0.0,36.0,24.0,10.0,4.0,1.0,0.0,1.0,0.0,208.0,208.0,19.0,0.0,19.0,13.0,0.0,128.0,26.0,25.0,53.0,1.0,0.0,0.0,17.0,18.0,9.0,18.0,233.0,2.0,0.0,0.0,1.0,1.0,347.0,48.0,22.0,1.0,83.0,192.0,10.0,7.0,155.0,309.0,539.0,0.0,0.0,0.0,2.0,1.0,715.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Halldór Snær Georgsson,KR,14,13,1249.0,559.0,29.0,39.0,70.0,22.0,75.0,24.0,62.0,598.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,45.0,0.0,0.0,0.0,157.0,1.0,5.0,1.0,87.0,0.0,0.0,0.0,1.0,2.0,10.0,27.0,0.0,1.0,0.0,50.0,47.0,13.0,0.0,373.0,13.0,1.0,77.0,0.0,33.0,30.0,3.0,5.0,0.0,93.0,75.0,0.0,239.0,123.0,40.0,13.0,1249.0,1.0,1.0,0.0,622.0,0.0,12.0,13.0,3.0,3.0,2.0,0.0,2.0,0.0,123.0,123.0,57.0,2.0,49.0,8.0,3.0,109.0,23.0,13.0,36.0,2.0,0.0,0.0,30.0,13.0,12.0,13.0,508.0,0.0,0.0,1.0,0.0,2.0,599.0,62.0,27.0,0.0,50.0,122.0,9.0,22.0,98.0,173.0,721.0,0.0,0.0,1.0,1.0,1.0,878.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
Anton Ari Einarsson,Breidablik,13,13,1170.0,307.0,49.0,58.0,23.0,6.0,58.0,31.0,106.0,365.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,62.0,0.0,0.0,0.0,121.0,0.0,4.0,0.0,86.0,0.0,3.0,1.0,8.0,0.0,6.0,11.0,0.0,3.0,1.0,64.0,51.0,13.0,0.0,348.0,13.0,0.0,31.0,0.0,25.0,24.0,1.0,7.0,0.0,92.0,59.0,0.0,90.0,177.0,59.0,8.0,1170.0,1.0,1.0,0.0,446.0,1.0,21.0,16.0,1.0,1.0,3.0,0.0,3.0,0.0,161.0,161.0,21.0,1.0,45.0,2.0,0.0,84.0,36.0,12.0,48.0,2.0,0.0,0.0,8.0,19.0,15.0,19.0,323.0,0.0,0.0,0.0,0.0,2.0,346.0,88.0,11.0,0.0,64.0,176.0,8.0,6.0,121.0,257.0,522.0,0.0,0.0,0.0,0.0,0.0,656.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,13,13,1170.0,153.0,12.0,27.0,72.0,6.0,59.0,20.0,52.0,180.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,71.0,0.0,0.0,0.0,109.0,0.0,5.0,1.0,16.0,1.0,0.0,8.0,12.0,2.0,9.0,20.0,0.0,0.0,0.0,36.0,18.0,13.0,0.0,196.0,13.0,0.0,102.0,0.0,31.0,26.0,5.0,6.0,0.0,79.0,59.0,0.0,43.0,107.0,27.0,21.0,1170.0,0.0,0.0,0.0,160.0,0.0,7.0,19.0,1.0,0.0,2.0,0.0,2.0,0.0,121.0,121.0,24.0,0.0,2.0,11.0,1.0,61.0,28.0,13.0,42.0,0.0,0.0,0.0,23.0,5.0,3.0,5.0,94.0,1.0,0.0,1.0,0.0,0.0,193.0,20.0,20.0,0.0,36.0,107.0,7.0,6.0,93.0,170.0,300.0,0.0,0.0,0.0,3.0,0.0,437.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,13,13,1170.0,120.0,15.0,60.0,22.0,10.0,42.0,44.0,79.0,180.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,91.0,54.0,0.0,0.0,0.0,117.0,0.0,3.0,1.0,51.0,0.0,2.0,5.0,9.0,2.0,3.0,22.0,3.0,0.0,0.0,100.0,70.0,13.0,2.0,245.0,13.0,2.0,38.0,0.0,25.0,22.0,3.0,5.0,3.0,91.0,43.0,0.0,63.0,197.0,60.0,9.0,1170.0,1.0,0.0,0.0,259.0,0.0,24.0,58.0,12.0,7.0,2.0,2.0,2.0,0.0,165.0,165.0,21.0,0.0,28.0,9.0,1.0,35.0,20.0,15.0,37.0,1.0,0.0,0.0,8.0,25.0,14.0,25.0,140.0,1.0,0.0,1.0,0.0,1.0,146.0,23.0,22.0,0.0,100.0,197.0,6.0,10.0,165.0,239.0,343.0,0.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Steinþór Már Auðunsson,KA,13,13,1170.0,245.0,24.0,36.0,53.0,4.0,65.0,19.0,71.0,281.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,72.0,0.0,0.0,0.0,123.0,0.0,6.0,1.0,41.0,0.0,2.0,3.0,13.0,1.0,9.0,14.0,0.0,0.0,0.0,58.0,21.0,13.0,1.0,277.0,13.0,0.0,94.0,0.0,28.0,26.0,2.0,13.0,0.0,90.0,65.0,0.0,55.0,144.0,36.0,17.0,1170.0,0.0,0.0,0.0,280.0,0.0,18.0,46.0,5.0,1.0,3.0,1.0,3.0,0.0,141.0,141.0,19.0,1.0,20.0,5.0,2.0,86.0,43.0,14.0,57.0,0.0,0.0,0.0,29.0,14.0,6.0,14.0,212.0,1.0,0.0,1.0,0.0,0.0,274.0,45.0,14.0,2.0,58.0,144.0,14.0,4.0,76.0,205.0,418.0,0.0,0.0,0.0,1.0,0.0,581.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0
Ásgeir Orri Magnússon,Keflavík,13,13,1170.0,200.0,27.0,80.0,45.0,23.0,91.0,50.0,123.0,280.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,126.0,62.0,1.0,0.0,0.0,177.0,0.0,3.0,0.0,74.0,1.0,2.0,4.0,13.0,3.0,7.0,35.0,1.0,0.0,1.0,59.0,26.0,13.0,1.0,333.0,13.0,3.0,85.0,0.0,24.0,22.0,2.0,12.0,1.0,142.0,98.0,0.0,61.0,205.0,84.0,8.0,1170.0,1.0,0.0,0.0,296.0,0.0,11.0,23.0,7.0,5.0,0.0,1.0,1.0,0.0,172.0,172.0,20.0,3.0,28.0,12.0,1.0,47.0,32.0,12.0,44.0,1.0,1.0,1.0,16.0,23.0,7.0,23.0,205.0,0.0,0.0,0.0,0.0,1.0,241.0,41.0,35.0,2.0,60.0,200.0,18.0,24.0,130.0,277.0,441.0,1.0,0.0,0.0,0.0,0.0,652.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0
Aron Birkir Stefánsson,Thór,13,13,1170.0,212.0,55.0,52.0,46.0,2.0,65.0,26.0,116.0,264.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,187.0,90.0,0.0,1.0,0.0,136.0,0.0,10.0,1.0,31.0,0.0,1.0,22.0,33.0,3.0,7.0,19.0,0.0,1.0,0.0,111.0,58.0,13.0,0.0,348.0,13.0,1.0,93.0,1.0,35.0,32.0,3.0,18.0,0.0,101.0,68.0,0.0,85.0,235.0,55.0,19.0,1170.0,0.0,1.0,1.0,312.0,1.0,76.0,41.0,6.0,4.0,3.0,0.0,4.0,1.0,221.0,221.0,17.0,0.0,8.0,10.0,1.0,46.0,50.0,18.0,68.0,1.0,0.0,0.0,19.0,23.0,12.0,22.0,192.0,1.0,0.0,1.0,0.0,1.0,248.0,103.0,19.0,0.0,110.0,231.0,18.0,2.0,119.0,329.0,479.0,1.0,0.0,0.0,0.0,0.0,659.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ari í Haraldsstovu Petersen,ÍBV,10,10,900.0,233.0,20.0,22.0,18.0,5.0,49.0,25.0,57.0,255.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,41.0,0.0,0.0,0.0,89.0,0.0,5.0,0.0,64.0,0.0,1.0,0.0,3.0,1.0,4.0,16.0,1.0,1.0,2.0,27.0,16.0,10.0,0.0,186.0,10.0,0.0,27.0,0.0,17.0,11.0,4.0,17.0,1.0,56.0,52.0,0.0,88.0,70.0,22.0,8.0,900.0,0.0,0.0,0.0,289.0,1.0,10.0,9.0,3.0,0.0,1.0,0.0,1.0,0.0,85.0,85.0,15.0,1.0,24.0,3.0,1.0,61.0,14.0,7.0,21.0,0.0,0.0,0.0,11.0,10.0,4.0,10.0,225.0,2.0,0.0,0.0,0.0,0.0,266.0,39.0,16.0,0.0,27.0,69.0,18.0,5.0,70.0,132.0,335.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
