goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attFreekickGoal,attFreekickTotal,attGoalHighLeft,attHdMiss,attHdTotal,attIboxMiss,attLgRight,attMissRight,attOboxGoal,attRfGoal,attRfTotal,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goals,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,headPass,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Anton Ari Einarsson,Breidablik,17,17,1530.0,408.0,62.0,67.0,31.0,6.0,83.0,36.0,0.0,130.0,475.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,83.0,0.0,0.0,0.0,169.0,0.0,4.0,0.0,109.0,0.0,5.0,5.0,14.0,0.0,9.0,13.0,0.0,3.0,2.0,77.0,62.0,17.0,0.0,435.0,17.0,1.0,42.0,0.0,27.0,25.0,2.0,10.0,0.0,0.0,131.0,87.0,0.0,119.0,213.0,69.0,14.0,1530.0,1.0,1.0,0.0,569.0,1.0,25.0,20.0,3.0,3.0,3.0,0.0,3.0,0.0,200.0,200.0,27.0,1.0,51.0,2.0,0.0,114.0,48.0,19.0,67.0,2.0,0.0,2.0,12.0,21.0,17.0,21.0,420.0,1.0,1.0,0.0,0.0,2.0,457.0,105.0,13.0,0.0,77.0,211.0,11.0,6.0,150.0,0.0,315.0,668.0,0.0,0.0,0.0,0.0,0.0,856.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,17,17,1530.0,202.0,21.0,38.0,92.0,7.0,76.0,31.0,0.0,76.0,240.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,97.0,0.0,0.0,0.0,136.0,0.0,8.0,1.0,23.0,1.0,3.0,10.0,19.0,2.0,12.0,26.0,0.0,0.0,0.0,46.0,23.0,17.0,0.0,255.0,17.0,0.0,127.0,0.0,32.0,27.0,5.0,9.0,0.0,0.0,102.0,78.0,0.0,59.0,140.0,38.0,24.0,1530.0,0.0,0.0,0.0,221.0,0.0,13.0,26.0,1.0,0.0,2.0,0.0,2.0,0.0,159.0,159.0,25.0,0.0,4.0,14.0,1.0,82.0,39.0,18.0,58.0,0.0,0.0,0.0,26.0,8.0,5.0,8.0,128.0,1.0,0.0,1.0,0.0,0.0,256.0,32.0,26.0,0.0,46.0,140.0,12.0,7.0,130.0,0.0,230.0,396.0,0.0,0.0,0.0,3.0,0.0,582.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,17,17,1530.0,177.0,16.0,70.0,29.0,12.0,60.0,54.0,0.0,95.0,247.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,128.0,80.0,0.0,0.0,0.0,165.0,0.0,5.0,1.0,67.0,0.0,3.0,5.0,11.0,2.0,6.0,27.0,3.0,0.0,0.0,122.0,85.0,17.0,2.0,318.0,17.0,2.0,49.0,0.0,29.0,25.0,4.0,8.0,3.0,0.0,129.0,62.0,0.0,94.0,244.0,70.0,11.0,1530.0,1.0,0.0,0.0,353.0,0.0,35.0,63.0,13.0,8.0,3.0,2.0,3.0,0.0,216.0,216.0,28.0,0.0,32.0,12.0,1.0,48.0,25.0,19.0,46.0,1.0,0.0,0.0,10.0,31.0,19.0,31.0,196.0,1.0,0.0,1.0,0.0,1.0,216.0,30.0,27.0,0.0,122.0,244.0,9.0,12.0,210.0,0.0,303.0,460.0,0.0,0.0,0.0,0.0,0.0,615.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Ásgeir Orri Magnússon,Keflavík,17,17,1530.0,273.0,34.0,107.0,67.0,30.0,113.0,64.0,0.0,168.0,380.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,170.0,82.0,1.0,0.0,0.0,212.0,0.0,7.0,2.0,92.0,1.0,3.0,9.0,18.0,4.0,8.0,44.0,1.0,2.0,2.0,68.0,31.0,17.0,2.0,437.0,17.0,3.0,120.0,0.0,33.0,30.0,3.0,17.0,1.0,0.0,168.0,120.0,0.0,79.0,260.0,111.0,17.0,1530.0,1.0,0.0,0.0,388.0,0.0,16.0,25.0,8.0,6.0,1.0,2.0,2.0,0.0,215.0,215.0,24.0,3.0,34.0,15.0,3.0,66.0,43.0,16.0,59.0,1.0,1.0,1.0,20.0,24.0,8.0,24.0,278.0,0.0,0.0,2.0,0.0,1.0,327.0,55.0,44.0,2.0,69.0,255.0,28.0,31.0,161.0,0.0,362.0,582.0,1.0,0.0,0.0,0.0,0.0,854.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0
Árni Snær Ólafsson,Stjarnan,17,17,1530.0,521.0,60.0,92.0,58.0,9.0,65.0,36.0,0.0,134.0,613.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183.0,106.0,0.0,0.0,1.0,171.0,0.0,5.0,0.0,138.0,1.0,0.0,8.0,13.0,3.0,16.0,11.0,1.0,2.0,0.0,136.0,93.0,17.0,1.0,439.0,17.0,1.0,70.0,0.0,43.0,32.0,11.0,6.0,1.0,0.0,123.0,66.0,1.0,189.0,217.0,90.0,15.0,1530.0,0.0,1.0,0.0,640.0,0.0,31.0,28.0,17.0,12.0,3.0,1.0,3.0,0.0,166.0,166.0,41.0,1.0,74.0,3.0,0.0,144.0,43.0,24.0,68.0,1.0,0.0,0.0,21.0,48.0,32.0,48.0,519.0,3.0,1.0,0.0,1.0,1.0,554.0,99.0,11.0,3.0,136.0,219.0,8.0,9.0,123.0,0.0,284.0,773.0,0.0,0.0,0.0,1.0,1.0,949.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0
Aron Birkir Stefánsson,Thór,17,17,1530.0,278.0,67.0,81.0,59.0,5.0,76.0,41.0,0.0,152.0,359.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,238.0,111.0,0.0,1.0,0.0,170.0,0.0,11.0,1.0,49.0,0.0,3.0,25.0,39.0,3.0,11.0,26.0,0.0,1.0,0.0,151.0,78.0,17.0,0.0,462.0,17.0,1.0,135.0,1.0,42.0,39.0,3.0,18.0,0.0,0.0,128.0,79.0,0.0,108.0,322.0,84.0,23.0,1530.0,0.0,1.0,1.0,411.0,1.0,89.0,71.0,10.0,8.0,3.0,0.0,4.0,1.0,281.0,281.0,24.0,0.0,13.0,15.0,1.0,63.0,59.0,23.0,82.0,1.0,0.0,0.0,25.0,36.0,20.0,35.0,269.0,1.0,0.0,1.0,0.0,1.0,315.0,123.0,26.0,0.0,150.0,318.0,18.0,5.0,154.0,0.0,424.0,633.0,1.0,0.0,0.0,0.0,0.0,851.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
Frederik August Albrecht Schram,Valur,17,17,1530.0,348.0,39.0,59.0,96.0,7.0,94.0,36.0,0.0,121.0,407.0,1.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,194.0,142.0,1.0,0.0,0.0,163.0,0.0,1.0,0.0,59.0,1.0,2.0,10.0,20.0,2.0,13.0,24.0,0.0,0.0,0.0,96.0,43.0,17.0,0.0,383.0,17.0,1.0,149.0,0.0,35.0,29.0,6.0,10.0,0.0,0.0,127.0,97.0,0.0,117.0,230.0,61.0,14.0,1530.0,1.0,0.0,0.0,433.0,0.0,37.0,29.0,11.0,5.0,1.0,0.0,1.0,0.0,251.0,251.0,26.0,0.0,22.0,13.0,0.0,149.0,34.0,30.0,66.0,1.0,1.0,0.0,20.0,19.0,10.0,19.0,284.0,2.0,0.0,0.0,1.0,1.0,420.0,58.0,24.0,1.0,96.0,229.0,11.0,7.0,181.0,0.0,360.0,649.0,1.0,0.0,0.0,2.0,1.0,864.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Halldór Snær Georgsson,KR,16,15,1429.0,608.0,31.0,46.0,81.0,25.0,81.0,31.0,0.0,74.0,654.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,52.0,0.0,0.0,0.0,169.0,2.0,5.0,1.0,96.0,0.0,1.0,0.0,1.0,2.0,10.0,30.0,0.0,1.0,0.0,61.0,56.0,15.0,0.0,421.0,15.0,1.0,91.0,0.0,34.0,31.0,3.0,5.0,0.0,1.0,102.0,82.0,0.0,258.0,142.0,47.0,15.0,1429.0,1.0,2.0,0.0,679.0,0.0,15.0,15.0,4.0,4.0,2.0,0.0,2.0,0.0,142.0,142.0,60.0,2.0,52.0,8.0,3.0,116.0,26.0,13.0,39.0,3.0,0.0,0.0,33.0,16.0,15.0,16.0,551.0,0.0,0.0,1.0,0.0,3.0,654.0,68.0,30.0,0.0,61.0,141.0,9.0,25.0,115.0,0.0,203.0,795.0,0.0,0.0,1.0,1.0,1.0,965.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
Steinþór Már Auðunsson,KA,14,14,1260.0,265.0,24.0,42.0,64.0,5.0,72.0,23.0,0.0,78.0,307.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171.0,81.0,0.0,0.0,0.0,132.0,0.0,8.0,1.0,44.0,0.0,2.0,4.0,14.0,3.0,9.0,15.0,0.0,0.0,0.0,63.0,24.0,14.0,2.0,295.0,14.0,0.0,110.0,0.0,30.0,28.0,2.0,14.0,0.0,0.0,98.0,72.0,0.0,60.0,159.0,42.0,19.0,1260.0,0.0,0.0,0.0,299.0,0.0,22.0,50.0,5.0,1.0,4.0,2.0,4.0,0.0,152.0,152.0,19.0,1.0,21.0,5.0,2.0,100.0,45.0,15.0,60.0,0.0,0.0,0.0,29.0,17.0,8.0,17.0,225.0,1.0,0.0,1.0,0.0,0.0,296.0,46.0,15.0,2.0,63.0,159.0,15.0,5.0,84.0,0.0,222.0,455.0,0.0,0.0,0.0,1.0,0.0,630.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0
Ari í Haraldsstovu Petersen,ÍBV,13,13,1170.0,352.0,32.0,31.0,26.0,8.0,67.0,29.0,0.0,82.0,383.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,54.0,0.0,0.0,0.0,118.0,0.0,5.0,0.0,96.0,0.0,1.0,0.0,5.0,1.0,5.0,19.0,3.0,1.0,2.0,40.0,28.0,13.0,0.0,263.0,13.0,0.0,37.0,0.0,22.0,15.0,5.0,18.0,3.0,0.0,76.0,70.0,0.0,132.0,94.0,31.0,8.0,1170.0,0.0,0.0,0.0,428.0,2.0,17.0,11.0,6.0,3.0,2.0,0.0,2.0,0.0,108.0,108.0,23.0,1.0,39.0,4.0,2.0,91.0,19.0,9.0,29.0,0.0,0.0,0.0,11.0,14.0,7.0,14.0,343.0,2.0,0.0,0.0,0.0,0.0,393.0,57.0,19.0,0.0,40.0,93.0,19.0,8.0,87.0,0.0,179.0,486.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
