goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attFreekickGoal,attFreekickTotal,attGoalHighLeft,attHdMiss,attHdTotal,attIboxMiss,attLgRight,attMissRight,attOboxGoal,attRfGoal,attRfTotal,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goals,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,headPass,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,secondGoalAssist,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
Anton Ari Einarsson,Breidablik,18,18,1620.0,431.0,65.0,71.0,33.0,7.0,84.0,38.0,0.0,138.0,502.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,94.0,0.0,0.0,0.0,175.0,0.0,6.0,0.0,114.0,0.0,5.0,7.0,16.0,0.0,9.0,13.0,0.0,3.0,2.0,79.0,63.0,18.0,0.0,460.0,18.0,1.0,45.0,0.0,30.0,28.0,2.0,10.0,0.0,0.0,132.0,88.0,0.0,122.0,220.0,74.0,16.0,1620.0,1.0,1.0,0.0,597.0,1.0,26.0,21.0,3.0,3.0,3.0,0.0,3.0,0.0,205.0,205.0,32.0,1.0,52.0,2.0,0.0,118.0,49.0,21.0,70.0,0.0,2.0,0.0,2.0,13.0,22.0,18.0,22.0,445.0,1.0,1.0,0.0,0.0,2.0,483.0,110.0,13.0,0.0,79.0,217.0,11.0,7.0,154.0,0.0,327.0,700.0,0.0,0.0,0.0,0.0,0.0,893.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Jökull Andrésson,FH,18,18,1620.0,213.0,22.0,40.0,95.0,8.0,84.0,33.0,0.0,79.0,253.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,105.0,0.0,0.0,0.0,149.0,0.0,9.0,1.0,23.0,1.0,4.0,10.0,19.0,2.0,14.0,28.0,0.0,0.0,0.0,49.0,25.0,18.0,0.0,263.0,18.0,0.0,131.0,0.0,32.0,27.0,5.0,11.0,0.0,0.0,110.0,86.0,0.0,66.0,144.0,40.0,25.0,1620.0,0.0,0.0,0.0,233.0,0.0,15.0,26.0,1.0,0.0,2.0,0.0,2.0,0.0,164.0,164.0,28.0,0.0,4.0,14.0,1.0,85.0,43.0,19.0,63.0,0.0,0.0,0.0,0.0,31.0,10.0,6.0,10.0,137.0,1.0,0.0,1.0,0.0,0.0,270.0,33.0,28.0,0.0,49.0,144.0,14.0,8.0,135.0,0.0,238.0,414.0,0.0,0.0,0.0,3.0,0.0,617.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
Viktor Freyr Sigurðsson,Fram,18,18,1620.0,187.0,19.0,75.0,35.0,12.0,64.0,57.0,0.0,102.0,262.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,149.0,84.0,0.0,0.0,0.0,172.0,0.0,5.0,1.0,68.0,0.0,3.0,5.0,11.0,2.0,6.0,29.0,3.0,0.0,0.0,128.0,91.0,18.0,2.0,334.0,18.0,2.0,57.0,0.0,34.0,30.0,4.0,8.0,3.0,0.0,135.0,66.0,0.0,102.0,256.0,75.0,12.0,1620.0,1.0,0.0,0.0,367.0,0.0,35.0,67.0,13.0,8.0,3.0,2.0,3.0,0.0,226.0,226.0,29.0,0.0,33.0,13.0,1.0,49.0,31.0,21.0,54.0,0.0,1.0,0.0,0.0,15.0,32.0,20.0,32.0,204.0,1.0,0.0,1.0,0.0,1.0,229.0,34.0,29.0,0.0,128.0,256.0,9.0,12.0,218.0,0.0,319.0,485.0,0.0,0.0,0.0,0.0,0.0,654.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Ásgeir Orri Magnússon,Keflavík,18,18,1620.0,290.0,36.0,115.0,73.0,30.0,116.0,65.0,0.0,180.0,405.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,190.0,95.0,1.0,0.0,0.0,224.0,0.0,7.0,2.0,97.0,1.0,3.0,9.0,18.0,4.0,9.0,44.0,1.0,2.0,2.0,83.0,37.0,18.0,2.0,471.0,18.0,3.0,135.0,0.0,34.0,31.0,3.0,20.0,1.0,0.0,174.0,123.0,0.0,83.0,283.0,119.0,18.0,1620.0,1.0,0.0,0.0,410.0,0.0,16.0,25.0,11.0,8.0,1.0,2.0,2.0,0.0,234.0,234.0,27.0,3.0,37.0,15.0,3.0,72.0,46.0,20.0,66.0,0.0,1.0,1.0,1.0,24.0,29.0,9.0,29.0,294.0,0.0,0.0,2.0,0.0,1.0,348.0,60.0,44.0,2.0,84.0,278.0,31.0,31.0,166.0,0.0,393.0,626.0,1.0,0.0,0.0,0.0,0.0,911.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,0.0,2.0
Aron Birkir Stefánsson,Thór,18,18,1620.0,283.0,71.0,97.0,65.0,7.0,83.0,47.0,0.0,168.0,380.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,256.0,117.0,0.0,1.0,1.0,182.0,0.0,14.0,1.0,57.0,0.0,3.0,26.0,41.0,4.0,11.0,27.0,0.0,1.0,0.0,187.0,104.0,18.0,0.0,511.0,18.0,1.0,148.0,1.0,44.0,41.0,3.0,20.0,0.0,0.0,138.0,86.0,0.0,110.0,370.0,100.0,25.0,1620.0,0.0,1.0,1.0,447.0,1.0,108.0,78.0,11.0,9.0,4.0,0.0,5.0,1.0,315.0,315.0,24.0,0.0,18.0,15.0,1.0,66.0,63.0,26.0,89.0,0.0,1.0,0.0,0.0,26.0,48.0,28.0,47.0,282.0,1.0,0.0,1.0,0.0,1.0,322.0,134.0,27.0,0.0,186.0,366.0,21.0,7.0,179.0,0.0,474.0,688.0,1.0,0.0,0.0,0.0,0.0,924.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
Frederik August Albrecht Schram,Valur,18,18,1620.0,361.0,41.0,65.0,102.0,7.0,102.0,38.0,0.0,128.0,426.0,1.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,205.0,147.0,1.0,0.0,0.0,178.0,0.0,1.0,0.0,63.0,1.0,2.0,10.0,20.0,2.0,13.0,24.0,0.0,0.0,0.0,107.0,50.0,18.0,0.0,409.0,18.0,1.0,159.0,0.0,36.0,30.0,6.0,10.0,0.0,0.0,139.0,105.0,0.0,120.0,249.0,67.0,14.0,1620.0,1.0,0.0,0.0,453.0,0.0,38.0,34.0,12.0,5.0,1.0,0.0,1.0,0.0,268.0,268.0,29.0,0.0,23.0,13.0,0.0,156.0,36.0,32.0,70.0,1.0,1.0,1.0,0.0,22.0,22.0,13.0,22.0,296.0,2.0,0.0,0.0,1.0,1.0,437.0,62.0,24.0,1.0,107.0,248.0,11.0,7.0,191.0,0.0,384.0,685.0,1.0,0.0,0.0,2.0,1.0,912.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Árni Snær Ólafsson,Stjarnan,17,17,1530.0,521.0,60.0,92.0,58.0,9.0,65.0,36.0,0.0,134.0,613.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183.0,106.0,0.0,0.0,1.0,171.0,0.0,5.0,0.0,138.0,1.0,0.0,8.0,13.0,3.0,16.0,11.0,1.0,2.0,0.0,136.0,93.0,17.0,1.0,439.0,17.0,1.0,70.0,0.0,43.0,32.0,11.0,6.0,1.0,0.0,123.0,66.0,1.0,189.0,217.0,90.0,15.0,1530.0,0.0,1.0,0.0,640.0,0.0,31.0,28.0,17.0,12.0,3.0,1.0,3.0,0.0,166.0,166.0,41.0,1.0,74.0,3.0,0.0,144.0,43.0,24.0,68.0,0.0,1.0,0.0,0.0,21.0,48.0,32.0,48.0,519.0,3.0,1.0,0.0,1.0,1.0,554.0,99.0,11.0,3.0,136.0,219.0,8.0,9.0,123.0,0.0,284.0,773.0,0.0,0.0,0.0,1.0,1.0,949.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,1.0,1.0,1.0
Halldór Snær Georgsson,KR,17,16,1519.0,638.0,33.0,48.0,91.0,28.0,85.0,33.0,0.0,79.0,686.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,59.0,0.0,0.0,0.0,184.0,2.0,6.0,1.0,100.0,0.0,1.0,0.0,1.0,2.0,10.0,33.0,0.0,1.0,0.0,71.0,65.0,16.0,0.0,448.0,16.0,1.0,102.0,0.0,36.0,33.0,3.0,5.0,0.0,1.0,110.0,86.0,0.0,271.0,155.0,49.0,16.0,1519.0,1.0,2.0,0.0,709.0,0.0,18.0,15.0,4.0,4.0,2.0,0.0,2.0,0.0,154.0,154.0,66.0,3.0,54.0,10.0,3.0,120.0,27.0,14.0,42.0,0.0,3.0,0.0,0.0,35.0,18.0,17.0,18.0,571.0,0.0,0.0,1.0,0.0,3.0,685.0,72.0,33.0,0.0,71.0,154.0,9.0,28.0,124.0,0.0,220.0,839.0,0.0,0.0,1.0,1.0,1.0,1019.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
Steinþór Már Auðunsson,KA,14,14,1260.0,265.0,24.0,42.0,64.0,5.0,72.0,23.0,0.0,78.0,307.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171.0,81.0,0.0,0.0,0.0,132.0,0.0,8.0,1.0,44.0,0.0,2.0,4.0,14.0,3.0,9.0,15.0,0.0,0.0,0.0,63.0,24.0,14.0,2.0,295.0,14.0,0.0,110.0,0.0,30.0,28.0,2.0,14.0,0.0,0.0,98.0,72.0,0.0,60.0,159.0,42.0,19.0,1260.0,0.0,0.0,0.0,299.0,0.0,22.0,50.0,5.0,1.0,4.0,2.0,4.0,0.0,152.0,152.0,19.0,1.0,21.0,5.0,2.0,100.0,45.0,15.0,60.0,0.0,0.0,0.0,0.0,29.0,17.0,8.0,17.0,225.0,1.0,0.0,1.0,0.0,0.0,296.0,46.0,15.0,2.0,63.0,159.0,15.0,5.0,84.0,0.0,222.0,455.0,0.0,0.0,0.0,1.0,0.0,630.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0
Ari í Haraldsstovu Petersen,ÍBV,14,14,1260.0,391.0,33.0,33.0,27.0,9.0,75.0,33.0,0.0,90.0,424.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,59.0,0.0,0.0,0.0,136.0,0.0,5.0,0.0,104.0,0.0,1.0,0.0,5.0,1.0,5.0,21.0,3.0,1.0,2.0,40.0,28.0,14.0,0.0,293.0,14.0,0.0,40.0,0.0,24.0,17.0,5.0,20.0,3.0,0.0,86.0,78.0,0.0,143.0,102.0,33.0,9.0,1260.0,0.0,0.0,0.0,473.0,2.0,18.0,11.0,6.0,3.0,2.0,0.0,2.0,0.0,119.0,119.0,29.0,1.0,43.0,4.0,2.0,102.0,22.0,12.0,35.0,0.0,0.0,0.0,0.0,13.0,14.0,7.0,14.0,381.0,2.0,0.0,0.0,0.0,0.0,437.0,61.0,21.0,0.0,40.0,101.0,22.0,9.0,95.0,0.0,196.0,538.0,0.0,0.0,0.0,0.0,0.0,698.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
