goalkeeper,team,appearances,starts,minutes,accurateBackZonePass,accurateChippedPass,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attBxCentre,attCmissRight,attCorner,attFreekickGoal,attFreekickTotal,attGoalHighLeft,attHdMiss,attHdTotal,attIboxMiss,attLgRight,attMissRight,attOboxGoal,attRfGoal,attRfTotal,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceSaves,blockedPass,carries,challengeLost,cleanSheet,diveSave,divingSave,duelLost,duelWon,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,finalThirdEntriesOpenPlay,formationPlace,fouls,fwdPass,gameStarted,gkSmother,goalKicks,goals,goalsConceded,goalsConcededIbox,goalsConcededObox,goodHighClaim,headClearance,headPass,keeperPickUp,keeperThrows,lastManTackle,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,minsPlayed,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,ownGoalsConceded,passesLeft,passesRight,penAreaEntries,penAreaEntriesOpenPlay,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,possLostAll,possLostCtrl,possWonDef3rd,possWonMid3rd,progressiveCarries,punches,putThrough,rightsidePass,savedIbox,savedObox,saves,secondGoalAssist,shotCreated,shotOffTarget,standCatch,standSave,successfulFinalThirdEntries,successfulFinalThirdEntriesOpenPlay,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPenAreaEntries,successfulPenAreaEntriesOpenPlay,successfulPutThrough,timesTackled,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalFinalThirdPasses,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalPass,totalScoringAtt,totalSubOff,totalSubOn,totalTackle,totalThrows,touches,touchesInFinalThird,touchesInOppBox,turnover,unsuccessfulTouch,wasFouled,winningGoal,wonContest,wonCorners,wonTackle,yellowCard,attMissLeft,dispossessed,diveCatch,expectedGoalsConceded,expectedGoalsNonpenaltyConceded,expectedGoalsontargetConceded,expectedGoalsontargetNonpenaltyConceded,player_id,team_id,xg_covered_appearances,source_opta_player_id,source_opta_player_name,source_opta_goalkeeper_full_name,canonical_player_id,canonical_player_id_status,identity_correction_source,identity_group_key,derived_pass_completion_pct,derived_long_pass_completion_pct,derived_goal_kick_completion_pct,derived_saves_per90,derived_xgot_minus_non_own_goals_conceded
Anton Ari Einarsson,Breidablik,22,22.0,1980.0,524.0,86.0,88.0,37.0,10.0,107.0,46.0,,170.0,612.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,114.0,0.0,0.0,0.0,216.0,0.0,17.0,0.0,164.0,0.0,5.0,8.0,26.0,0.0,9.0,16.0,0.0,3.0,2.0,98.0,83.0,,0.0,560.0,22.0,2.0,48.0,0.0,41.0,38.0,3.0,13.0,0.0,0.0,159.0,111.0,0.0,149.0,269.0,91.0,17.0,1980.0,1.0,1.0,0.0,740.0,1.0,32.0,22.0,4.0,4.0,3.0,0.0,3.0,0.0,250.0,250.0,43.0,1.0,79.0,6.0,0.0,146.0,65.0,25.0,90.0,0.0,2.0,0.0,5.0,8.0,25.0,22.0,25.0,549.0,1.0,1.0,0.0,0.0,2.0,589.0,142.0,16.0,0.0,98.0,266.0,14.0,10.0,191.0,,404.0,855.0,0.0,0.0,0.0,0.0,0.0,1098.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0847,40.7195,41.4998,39.034,9zzg49vnaufp7j6yj7pcg6sb9,c6hu27u143y4z4te8b4036bae,22,9zzg49vnaufp7j6yj7pcg6sb9,A. Einarsson,Anton Ari Einarsson,9zzg49vnaufp7j6yj7pcg6sb9,as_supplied_by_opta,,9zzg49vnaufp7j6yj7pcg6sb9:c6hu27u143y4z4te8b4036bae:opta_identity,71.58,42.08,77.08,4.091,1.4998
Jökull Andrésson,FH,22,22.0,1980.0,288.0,29.0,42.0,126.0,12.0,108.0,37.0,,94.0,330.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,140.0,0.0,0.0,0.0,194.0,0.0,17.0,1.0,35.0,1.0,4.0,22.0,44.0,2.0,19.0,35.0,0.0,1.0,0.0,53.0,27.0,,0.0,312.0,22.0,1.0,168.0,0.0,39.0,33.0,6.0,20.0,0.0,0.0,142.0,114.0,3.0,90.0,165.0,42.0,28.0,1980.0,0.0,0.0,0.0,291.0,1.0,18.0,31.0,1.0,0.0,2.0,0.0,2.0,0.0,197.0,197.0,32.0,0.0,6.0,17.0,1.0,118.0,50.0,24.0,75.0,0.0,0.0,0.0,1.0,4.0,10.0,6.0,10.0,178.0,1.0,0.0,1.0,0.0,0.0,356.0,50.0,35.0,0.0,53.0,164.0,23.0,14.0,151.0,,280.0,520.0,0.0,0.0,0.0,3.0,0.0,782.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,44.5303,42.9535,37.4576,35.6557,29q6xnzs6z0lnt8ntpiber696,2ci0yr2esa7y4etjvl5vau077,22,29q6xnzs6z0lnt8ntpiber696,J. Andrésson,Jökull Andrésson,29q6xnzs6z0lnt8ntpiber696,as_supplied_by_opta,,29q6xnzs6z0lnt8ntpiber696:2ci0yr2esa7y4etjvl5vau077:opta_identity,63.46,33.57,75.0,3.409,-0.5424
Viktor Freyr Sigurðsson,Fram,22,22.0,1980.0,243.0,25.0,94.0,48.0,13.0,75.0,68.0,,121.0,337.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,186.0,105.0,0.0,0.0,0.0,205.0,0.0,12.0,1.0,93.0,0.0,3.0,8.0,17.0,2.0,9.0,30.0,3.0,0.0,0.0,163.0,119.0,,2.0,405.0,22.0,4.0,75.0,0.0,42.0,37.0,5.0,13.0,3.0,0.0,154.0,77.0,0.0,129.0,316.0,95.0,15.0,1980.0,1.0,0.0,0.0,461.0,0.0,44.0,85.0,13.0,9.0,3.0,2.0,3.0,0.0,272.0,272.0,38.0,0.0,40.0,14.0,1.0,71.0,36.0,24.0,62.0,0.0,1.0,0.0,2.0,8.0,43.0,30.0,42.0,265.0,0.0,0.0,1.0,0.0,1.0,290.0,47.0,30.0,0.0,162.0,315.0,14.0,13.0,259.0,,386.0,605.0,0.0,0.0,0.0,0.0,0.0,803.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1575,32.7923,37.2065,34.5458,ep3hf2ww6epapo978sbn665be,ta7x6ep3lniyckj6la77zw,22,ep3hf2ww6epapo978sbn665be,V. Sigurðsson,Viktor Freyr Sigurðsson,ep3hf2ww6epapo978sbn665be,as_supplied_by_opta,,ep3hf2ww6epapo978sbn665be:ta7x6ep3lniyckj6la77zw:opta_identity,55.7,31.35,64.0,2.818,-4.7935
Ásgeir Orri Magnússon,Keflavík,22,22.0,1980.0,370.0,48.0,140.0,89.0,42.0,139.0,77.0,,214.0,510.0,0.0,2.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,226.0,120.0,1.0,0.0,0.0,273.0,0.0,16.0,2.0,151.0,1.0,5.0,11.0,28.0,4.0,15.0,57.0,1.0,3.0,2.0,114.0,59.0,,2.0,592.0,22.0,4.0,169.0,0.0,38.0,35.0,3.0,24.0,1.0,0.0,204.0,148.0,0.0,114.0,362.0,144.0,22.0,1980.0,1.0,0.0,0.0,537.0,0.0,22.0,36.0,15.0,11.0,1.0,2.0,2.0,0.0,307.0,307.0,42.0,3.0,53.0,19.0,3.0,94.0,54.0,26.0,80.0,0.0,1.0,1.0,3.0,12.0,34.0,12.0,34.0,374.0,0.0,0.0,2.0,0.0,1.0,443.0,81.0,57.0,3.0,114.0,357.0,38.0,44.0,219.0,,495.0,800.0,1.0,0.0,0.0,0.0,0.0,1150.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,36.7886,35.2118,34.2303,33.4262,67iuqfijm1h3db1j85g111rf8,96h322mg5vnaneem9fjzgvioq,22,67iuqfijm1h3db1j85g111rf8,Ásgeir Orri Magnússon,Ásgeir Orri Magnússon,67iuqfijm1h3db1j85g111rf8,as_supplied_by_opta,,67iuqfijm1h3db1j85g111rf8:96h322mg5vnaneem9fjzgvioq:opta_identity,63.75,43.23,52.66,3.636,-3.7697
Aron Birkir Stefánsson,Thór,22,22.0,1980.0,363.0,84.0,110.0,76.0,13.0,100.0,54.0,,194.0,473.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,297.0,140.0,0.0,1.0,1.0,226.0,0.0,25.0,2.0,81.0,0.0,5.0,27.0,57.0,3.0,14.0,35.0,1.0,1.0,1.0,230.0,132.0,,0.0,624.0,22.0,3.0,175.0,1.0,50.0,45.0,5.0,24.0,1.0,0.0,168.0,105.0,0.0,139.0,440.0,113.0,29.0,1980.0,0.0,1.0,1.0,566.0,1.0,119.0,93.0,14.0,10.0,4.0,0.0,6.0,1.0,384.0,384.0,34.0,0.0,28.0,18.0,2.0,84.0,70.0,30.0,100.0,0.0,1.0,0.0,0.0,9.0,56.0,38.0,56.0,364.0,1.0,0.0,2.0,0.0,1.0,413.0,151.0,35.0,0.0,229.0,435.0,25.0,13.0,227.0,,565.0,848.0,1.0,0.0,0.0,0.0,0.0,1132.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,57.4352,52.7048,52.5828,48.4889,2vfiu4zekww816g1j3bverill,dys496cnlmowm95ehcfgcrvbm,22,2vfiu4zekww816g1j3bverill,A. Stefánsson,Aron Birkir Stefánsson,2vfiu4zekww816g1j3bverill,as_supplied_by_opta,,2vfiu4zekww816g1j3bverill:dys496cnlmowm95ehcfgcrvbm:opta_identity,55.78,34.34,43.43,4.545,3.5828
Frederik August Albrecht Schram,Valur,22,22.0,1980.0,445.0,48.0,71.0,125.0,8.0,129.0,39.0,,137.0,516.0,1.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,263.0,174.0,1.0,0.0,0.0,220.0,0.0,13.0,0.0,89.0,1.0,2.0,12.0,33.0,1.0,13.0,29.0,0.0,0.0,1.0,116.0,53.0,,0.0,492.0,22.0,2.0,199.0,0.0,45.0,38.0,7.0,11.0,0.0,0.0,169.0,132.0,1.0,147.0,288.0,73.0,22.0,1980.0,1.0,0.0,0.0,539.0,0.0,40.0,43.0,12.0,5.0,1.0,0.0,1.0,0.0,311.0,311.0,40.0,0.0,23.0,14.0,0.0,179.0,47.0,40.0,88.0,1.0,1.0,1.0,2.0,9.0,24.0,12.0,24.0,360.0,2.0,0.0,0.0,0.0,1.0,531.0,79.0,29.0,0.0,116.0,287.0,12.0,8.0,207.0,,435.0,818.0,1.0,0.0,0.0,1.0,1.0,1096.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6994,42.911,37.2968,36.5224,c4esrbgbv6v715768v2cb676d,khmdmbol7850k3i07yusgpn,22,c4esrbgbv6v715768v2cb676d,F. Schram,Frederik August Albrecht Schram,c4esrbgbv6v715768v2cb676d,as_supplied_by_opta,,c4esrbgbv6v715768v2cb676d:khmdmbol7850k3i07yusgpn:opta_identity,63.08,31.49,62.81,4.0,-7.7032
Halldór Snær Georgsson,KR,21,20.0,1834.0,740.0,37.0,62.0,118.0,40.0,109.0,42.0,,92.0,802.0,1.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,213.0,83.0,0.0,0.0,0.0,224.0,3.0,14.0,1.0,154.0,0.0,1.0,9.0,19.0,2.0,11.0,44.0,1.0,2.0,1.0,87.0,83.0,,1.0,537.0,20.0,1.0,131.0,0.0,44.0,38.0,6.0,6.0,1.0,0.0,138.0,110.0,0.0,328.0,197.0,63.0,20.0,1834.0,2.0,2.0,0.0,833.0,0.0,20.0,18.0,4.0,4.0,2.0,1.0,3.0,1.0,197.0,197.0,77.0,3.0,80.0,11.0,5.0,132.0,36.0,17.0,54.0,0.0,4.0,0.0,0.0,12.0,26.0,25.0,26.0,657.0,0.0,0.0,1.0,0.0,4.0,801.0,90.0,44.0,0.0,87.0,196.0,9.0,40.0,156.0,,274.0,997.0,0.0,1.0,1.0,1.0,1.0,1226.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,39.8043,37.4391,38.8296,36.6099,cdx5akkzjrm6j7erasu8k4hlg,629yaod9sjr350jvivp78vwfz,21,cdx5akkzjrm6j7erasu8k4hlg,H. Georgsson,Halldór Snær Georgsson,cdx5akkzjrm6j7erasu8k4hlg,as_supplied_by_opta,,cdx5akkzjrm6j7erasu8k4hlg:629yaod9sjr350jvivp78vwfz:opta_identity,80.44,33.58,90.08,2.65,-5.1704
Árni Snær Ólafsson,Stjarnan,20,20.0,1800.0,628.0,80.0,119.0,72.0,10.0,76.0,44.0,,168.0,747.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222.0,129.0,0.0,0.0,1.0,207.0,1.0,17.0,0.0,199.0,1.0,1.0,9.0,20.0,3.0,17.0,14.0,1.0,4.0,3.0,173.0,127.0,,1.0,550.0,20.0,1.0,94.0,0.0,47.0,35.0,12.0,10.0,1.0,0.0,152.0,77.0,1.0,234.0,286.0,117.0,14.0,1800.0,0.0,2.0,0.0,781.0,0.0,38.0,35.0,22.0,18.0,3.0,1.0,3.0,0.0,215.0,215.0,44.0,1.0,101.0,5.0,0.0,172.0,52.0,29.0,81.0,0.0,2.0,0.0,2.0,10.0,62.0,45.0,62.0,628.0,4.0,2.0,0.0,1.0,2.0,669.0,119.0,14.0,3.0,173.0,288.0,13.0,10.0,161.0,,363.0,957.0,0.0,0.0,0.0,1.0,1.0,1164.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,40.3685,38.0033,38.526,35.8667,7ibfw77zng0sh9dv2h0srauol,23vg6q15dzr375k6757j06wkq,20,7ibfw77zng0sh9dv2h0srauol,Á. Ólafsson,Árni Snær Ólafsson,7ibfw77zng0sh9dv2h0srauol,as_supplied_by_opta,,7ibfw77zng0sh9dv2h0srauol:23vg6q15dzr375k6757j06wkq:opta_identity,78.06,46.28,76.6,4.05,-8.474
Ari í Haraldsstovu Petersen,ÍBV,18,18.0,1620.0,556.0,48.0,51.0,48.0,13.0,94.0,38.0,,116.0,607.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,81.0,0.0,0.0,1.0,187.0,0.0,11.0,0.0,145.0,0.0,1.0,7.0,18.0,1.0,10.0,24.0,4.0,2.0,2.0,56.0,39.0,,0.0,386.0,18.0,0.0,61.0,0.0,31.0,24.0,7.0,22.0,4.0,1.0,124.0,98.0,0.0,210.0,137.0,50.0,13.0,1620.0,0.0,0.0,0.0,658.0,2.0,26.0,15.0,7.0,4.0,2.0,0.0,2.0,0.0,157.0,157.0,40.0,1.0,59.0,9.0,2.0,161.0,38.0,19.0,59.0,0.0,0.0,0.0,1.0,2.0,24.0,14.0,24.0,534.0,2.0,1.0,0.0,0.0,0.0,621.0,86.0,24.0,1.0,56.0,137.0,25.0,13.0,121.0,,258.0,758.0,0.0,0.0,0.0,0.0,0.0,972.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6536,24.0768,26.5273,24.8795,92h0ymqm9kvcav8rvzftpvq0a,3tlx1zjkgrsdky3abrqe2c9c3,18,92h0ymqm9kvcav8rvzftpvq0a,A. Petersen,Ari í Haraldsstovu Petersen,92h0ymqm9kvcav8rvzftpvq0a,as_supplied_by_opta,,92h0ymqm9kvcav8rvzftpvq0a:3tlx1zjkgrsdky3abrqe2c9c3:opta_identity,80.08,44.96,78.69,3.278,-2.4727
Aron Snær Friðriksson,Víkingur R,16,15.0,1365.0,330.0,26.0,51.0,17.0,14.0,51.0,47.0,,85.0,381.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,47.0,0.0,0.0,0.0,102.0,0.0,6.0,0.0,84.0,0.0,6.0,3.0,3.0,0.0,8.0,15.0,0.0,0.0,0.0,63.0,50.0,,0.0,318.0,15.0,1.0,27.0,0.0,13.0,10.0,3.0,4.0,0.0,0.0,80.0,52.0,1.0,88.0,151.0,52.0,9.0,1365.0,0.0,0.0,0.0,464.0,0.0,10.0,28.0,1.0,0.0,1.0,0.0,1.0,0.0,140.0,140.0,18.0,0.0,26.0,4.0,0.0,112.0,18.0,6.0,24.0,0.0,0.0,0.0,1.0,5.0,19.0,14.0,19.0,353.0,1.0,0.0,0.0,0.0,0.0,368.0,59.0,15.0,0.0,63.0,150.0,5.0,14.0,129.0,,218.0,518.0,0.0,1.0,1.0,2.0,0.0,622.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.7187,13.9303,11.5294,10.798,7djiu062df2mock06lrukjw0l,7gmdb4hmtrz199zv9r66qy9qp,16,7djiu062df2mock06lrukjw0l,A. Friðriksson,Aron Snær Friðriksson,7djiu062df2mock06lrukjw0l,as_supplied_by_opta,,7djiu062df2mock06lrukjw0l:7gmdb4hmtrz199zv9r66qy9qp:opta_identity,73.55,38.99,62.96,1.582,-1.4706
