match_id,date,round,home_team,away_team,team,opponent,team_id,official_team_xg,official_team_setplay_xg,official_team_openplay_xg,official_team_nonpenalty_xg,provider_nonpenalty_setplay_shots,provider_nonpenalty_setplay_shot_xg_raw_sum,provider_nonpenalty_setplay_goals,derived_all_restart_linked_shots,derived_all_restart_linked_xg_raw_sum,derived_linked_shots_classified_open_play_by_provider,source_ma12,source_last_updated,corner_events,free_kick_events,direct_free_kick_events,penalty_events,throw_in_events,goal_kick_events,keeper_throw_events
58gq4gre01laikpidgbf9i044,2026-04-10,1,Víkingur R,Breidablik,Víkingur R,Breidablik,7gmdb4hmtrz199zv9r66qy9qp,2.125500,0.853000,1.272500,2.125500,6,0.853016,0,9,1.339309,3,vikingur_r_breidablik_2026_04_10_ma12.json,2026-09-06T22:48:32Z,5,21,0,0,25,1,5
58gq4gre01laikpidgbf9i044,2026-04-10,1,Víkingur R,Breidablik,Breidablik,Víkingur R,c6hu27u143y4z4te8b4036bae,0.947900,0.088300,0.859600,0.947900,2,0.067125,0,2,0.067125,0,vikingur_r_breidablik_2026_04_10_ma12.json,2026-09-06T22:48:32Z,3,18,0,0,31,11,6
5954hehzan6m0twb25nis6y38,2026-04-12,1,KR,Keflavík,KR,Keflavík,629yaod9sjr350jvivp78vwfz,1.942600,0.026900,1.915700,1.942600,1,0.02688,0,3,0.109231,2,kr_keflavik_2026_04_12_ma12.json,2026-09-06T22:48:31Z,8,22,1,0,20,5,5
5954hehzan6m0twb25nis6y38,2026-04-12,1,KR,Keflavík,Keflavík,KR,96h322mg5vnaneem9fjzgvioq,1.286700,0.150700,1.136000,1.286700,4,0.104255,0,4,0.104255,0,kr_keflavik_2026_04_12_ma12.json,2026-09-06T22:48:31Z,6,24,0,0,18,8,7
59s4qh9rhitn82g4i30fc2mfo,2026-04-12,1,Valur,Thór,Valur,Thór,khmdmbol7850k3i07yusgpn,2.196900,0.142800,2.054100,2.196900,2,0.142761,0,3,0.288448,1,valur_thor_2026_04_12_ma12.json,2026-09-06T22:48:31Z,6,5,1,0,27,5,6
59s4qh9rhitn82g4i30fc2mfo,2026-04-12,1,Valur,Thór,Thór,Valur,dys496cnlmowm95ehcfgcrvbm,0.946000,0.738200,0.207800,0.946000,9,0.76099,1,10,0.805537,2,valur_thor_2026_04_12_ma12.json,2026-09-06T22:48:31Z,8,16,0,0,16,13,7
5adqibxev6p0ee3l6zqz43ggk,2026-04-12,1,ÍBV,FH,ÍBV,FH,3tlx1zjkgrsdky3abrqe2c9c3,2.090000,1.088100,1.001800,2.090000,4,1.088125,1,6,1.165019,2,ibv_fh_2026_04_12_ma12.json,2026-09-06T22:48:32Z,2,19,1,0,23,9,4
5adqibxev6p0ee3l6zqz43ggk,2026-04-12,1,ÍBV,FH,FH,ÍBV,2ci0yr2esa7y4etjvl5vau077,1.745500,0.105200,0.851900,0.957100,1,0.105185,0,3,0.955792,1,ibv_fh_2026_04_12_ma12.json,2026-09-06T22:48:32Z,5,18,0,1,24,7,5
5azcgpxj71p79bn8o27qyayac,2026-04-12,1,KA,Stjarnan,KA,Stjarnan,4mo70a9j7p2ersbrieg5aw3dg,1.645100,0.443500,1.201500,1.645100,9,0.443538,0,10,0.477962,1,ka_stjarnan_2026_04_12_ma12.json,2026-09-06T22:48:31Z,9,9,2,0,13,4,10
5azcgpxj71p79bn8o27qyayac,2026-04-12,1,KA,Stjarnan,Stjarnan,KA,23vg6q15dzr375k6757j06wkq,1.518500,0.124900,1.393600,1.518500,3,0.124917,0,3,0.124917,0,ka_stjarnan_2026_04_12_ma12.json,2026-09-06T22:48:31Z,3,11,1,0,12,13,6
5bko88dcsxlnjjt2xzayiy4no,2026-04-12,1,Fram,ÍA,Fram,ÍA,ta7x6ep3lniyckj6la77zw,1.401800,0.657300,0.744500,1.401800,7,0.657287,2,7,0.335419,1,fram_ia_2026_04_12_ma12.json,2026-09-06T22:48:31Z,8,12,0,0,21,9,3
5bko88dcsxlnjjt2xzayiy4no,2026-04-12,1,Fram,ÍA,ÍA,Fram,9ar4wcltrggiz60w77e3z56m2,1.782300,0.671900,1.110400,1.782300,6,0.715462,1,7,0.759165,1,fram_ia_2026_04_12_ma12.json,2026-09-06T22:48:31Z,7,10,0,0,20,13,4
5c2ebjrgfjrjtkq59yvzky6ms,2026-04-17,2,KR,Thór,KR,Thór,629yaod9sjr350jvivp78vwfz,3.102500,0.428700,1.885500,2.314100,7,0.428675,2,12,1.521302,4,kr_thor_2026_04_17_ma12.json,2026-09-06T22:48:31Z,9,10,0,1,33,4,8
5c2ebjrgfjrjtkq59yvzky6ms,2026-04-17,2,KR,Thór,Thór,KR,dys496cnlmowm95ehcfgcrvbm,2.597000,0.279700,2.317300,2.597000,1,0.279706,0,1,0.279706,0,kr_thor_2026_04_17_ma12.json,2026-09-06T22:48:31Z,3,18,0,0,21,13,5
5ck72gsvq8onmvuq2retn2yhg,2026-04-17,2,KA,Víkingur R,KA,Víkingur R,4mo70a9j7p2ersbrieg5aw3dg,0.701900,,0.701900,0.701900,0,0,0,1,0.151838,1,ka_vikingur_r_2026_04_17_ma12.json,2026-09-06T22:48:31Z,1,13,0,0,28,8,4
